timestamp,Puissance Reactive 
'1528794670', 0
'1528794670', 0
'1528790460', 0
'1528790360', 0
'1528789759', 0
'1528789159', 0
'1528788560', 0
'1528787960', 0
'1528787361', 0
'1528786759', 0
'1528786159', 0
'1528785559', 0
'1528784959', 0
'1528784360', 0
'1528783760', 0
'1528783161', 0
'1528782561', 0
'1528781961', 0
'1528781361', 0
'1528780761', 0
'1528780161', 0
'1528779562', 0
'1528778962', 0
'1528778363', 0
'1528777762', 0
'1528777162', 0
'1528776562', 0
'1528775964', 0
'1528775364', 0
'1528774764', 0
'1528774164', 0
'1528773564', 0
'1528772964', 0
'1528772365', 0
'1528771765', 0
'1528771165', 0
'1528770565', 0
'1528769966', 0
'1528769366', 0
'1528768766', 0
'1528768167', 0
'1528767567', 0
'1528766968', 0
'1528766368', 0
'1528765768', 0
'1528765168', 0
'1528764567', 0
'1528763967', 0
'1528763367', 0
'1528762768', 0
'1528762168', 0
'1528761602', 0
'1528760969', 0
'1528760368', 0
'1528759769', 0
'1528759169', 0
'1528758568', 0
'1528757969', 0
'1528757369', 0
'1528756769', 0
'1528756169', 0
'1528755569', 0
'1528754969', 0
'1528754369', 0
'1528753769', 0
'1528753169', 0
'1528752569', 0
'1528751969', 0
'1528751369', 0
'1528750770', 0
'1528750169', 0
'1528749570', 0
'1528748970', 0
'1528748370', 0
'1528747770', 0
'1528747170', 0
'1528746570', 0
'1528745970', 0
'1528745370', 0
'1528744770', 0
'1528744171', 0
'1528743568', 0
'1528742968', 0
'1528742368', 0
'1528741768', 0
'1528741169', 0
'1528740569', 0
'1528739968', 0
'1528739369', 0
'1528738768', 0
'1528738168', 0
'1528737569', 0
'1528736968', 0
'1528736368', 0
'1528735768', 0
'1528735169', 0
'1528734568', 0
'1528733968', 0
'1528733369', 0
'1528732769', 0
'1528732169', 0
'1528731568', 0
'1528730969', 0
'1528730368', 0
'1528729769', 0
'1528729168', 0
'1528728569', 0.1
'1528727969', 0.1
'1528727369', 0
'1528726769', 0
'1528726169', 0.1
'1528725569', 0
'1528724969', 0
'1528724369', 0
'1528723769', 0
'1528723169', 0
'1528722568', 0
'1528721966', 0
'1528721366', 0
'1528720766', 0
'1528720166', 0
'1528719566', 0
'1528718966', -0.1
'1528718366', -0.1
'1528717766', -0.1
'1528717166', -0.1
'1528716566', 0
'1528715966', 0.2
'1528715366', 0
'1528714766', 0
'1528714166', 0
'1528713565', 0
'1528712966', 0
'1528712366', 0
'1528711765', 0
'1528711166', 0
'1528710566', 0
'1528709966', 0
'1528709366', 0
'1528708766', 0
'1528708167', 0
'1528707567', 0
'1528706967', 0
